UID,Titulo,Dueño,UID del dueño,Etapa de publicación,Público,Estado de aprobación,Origen,Tipo,Categoría,Etiqueta,url,API,Fecha de creación (UTC),Fecha de última actualización de datos (UTC),Dominio,Recurso Derivado,Vistas,Descargas,Número de Filas,Número de Columnas,Correo Electrónico de Contacto,Licencia,Atribución,Enlace de Atribución,Nombre del Recurso Publicado,UID del Recurso Publicado,UID del conjunto de datos superior,Common Core: Publisher,Información de Datos: Fecha Emisión (dd/mm/aaaa),Common Core: Contact Name,Common Core: Language,Common Core: Contact Email,Common Core: License,Common Core: Issued,Información de la Entidad: Sector,Common Core: References,Información de la Entidad: Nombre de la Entidad,Common Core: Public Access Level,Common Core: Bureau Code,Common Core: Described By,Common Core: Update Frequency,Información de Datos: URL Normativa,Información de la Entidad: Departamento,Información de la Entidad: Autor,Información de la Entidad: Orden,Common Core: Program Code,Common Core: Last Update,Common Core: Homepage,Common Core: Unique Identifier,Información de la Entidad: Área o dependecia,Información de Datos: Fecha Emisión (aaaa mm dd),Información de la Entidad: Área o dependencia,Información de la Entidad: Municipio,Common Core: Geographic Coverage,Información de Datos: Frecuencia de Actualización,Información de Datos: Idioma,Common Core: Theme,Información de Datos: Cobertura Geográfica,Información de Datos: URL Documentación
69b9-dadu,"Graduados formación técnica TIC, OCDE y sexo",OCyT,mfya-k3m2,published,private,not_ready,official,href,"Ciencia, Tecnología e Innovación",graduados formación técnica profesional tic,https://www.datos.gov.co/d/69b9-dadu,,07/14/2016 10:48:42 PM,07/14/2016 10:48:42 PM,www.datos.gov.co,false,25,1,,,,Creative Commons Attribution | Share Alike 4.0 International,Ministerio de Tecnologías de la Información y las Comunicaciones,,,,,,2016-04-04 15:55:27.963,,,,,,Tecnologías de la Información y las Comunicaciones,,Ministerio de Tecnologías de La Información y Las Comunicaciones,,,,,,Bogotá D.C.,,Nacional,,,,,,2016-04-04,MINISTERIO DE TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES,Bogotá D.C.,,Anual,Español,,Nacional,
j893-7cux,Personas capacitadas con recursos empresas TIC,OCyT,mfya-k3m2,published,private,not_ready,official,href,"Ciencia, Tecnología e Innovación",empleados sector tic capacitadas,https://www.datos.gov.co/d/j893-7cux,,07/14/2016 10:46:07 PM,07/14/2016 10:46:07 PM,www.datos.gov.co,false,26,1,,,,Creative Commons Attribution | Share Alike 4.0 International,Ministerio de Tecnologías de la Información y las Comunicaciones,,,,,,2016-03-31 14:47:28.393,,,,,,Tecnologías de la Información y las Comunicaciones,,Ministerio de Tecnologías de La Información y Las Comunicaciones,,,,,,Bogotá D.C.,,Nacional,,,,,,2016-03-31,MINISTERIO DE TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES,Bogotá D.C.,,Anual,Español,,Nacional,
j7dz-f94v,"Número de innovaciones, sector manufactura TIC",OCyT,mfya-k3m2,published,private,not_ready,official,href,"Ciencia, Tecnología e Innovación",innovaciones de producto tic,https://www.datos.gov.co/d/j7dz-f94v,,07/14/2016 10:54:03 PM,07/14/2016 10:54:03 PM,www.datos.gov.co,false,15,0,,,,Creative Commons Attribution | Share Alike 4.0 International,Ministerio de Tecnologías de la Información y las Comunicaciones,,,,,,2016-04-08,,,,,,Tecnologías de la Información y las Comunicaciones,,Ministerio de Tecnologías de La Información y Las Comunicaciones,,,,,,Bogotá D.C.,,Nacional,,,,,,2016-04-08,MINISTERIO DE TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES,Bogotá D.C.,,Anual,Español,,Nacional,
b84s-hkiv:1,Centros de Transformación digital,Ministerio TIC Oficina TI Gestión de Informacion,cw5t-ib5h,unpublished,private,not_ready,official,dataset,"Ciencia, Tecnología e Innovación",,https://www.datos.gov.co/d/b84s-hkiv/revisions/1,,07/21/2021 10:32:20 PM,06/09/2021 04:55:05 PM,www.datos.gov.co,false,,,66857,19,ocastillo@mintic.gov.co,Creative Commons Attribution 4.0 International,Ministerio de Tecnologías de la Información y las Comunicaciones,https://colombiatic.mintic.gov.co,Centros de Transformación digital,b84s-hkiv,,,,,,,,,"Ciencia, Tecnología e innovación",,Ministerio de Tecnologías de La Información y Las Comunicaciones,,,,,,Bogotá D.C.,,Nacional,,,,,,27/01/2020,Dirección de transformación digital,Bogotá D.C.,,Mensual,Español,,Nacional,
wcnr-x6yk,GraficoJornadasTaller,tdpt,3xbf-pgw6,unpublished,private,not_ready,official,chart,Salud y Protección Social,,https://www.datos.gov.co/d/wcnr-x6yk,https://www.datos.gov.co/resource/wcnr-x6yk.json,09/15/2020 08:54:40 PM,09/15/2020 08:49:59 PM,www.datos.gov.co,true,1,0,,,,Creative Commons Attribution 4.0 International,UTTransformacionDigital,,,,j3ri-pjkv,,,,,,,,Salud y Protección Social,,Ministerio de Tecnologías de La Información y Las Comunicaciones,,,,,http://www.secretariasenado.gov.co/senado/basedoc/ley_1712_2014.html,Bogotá D.C.,,Nacional,,,,,,2020-09-01,AreaRiesgos,Bogotá D.C.,,Mensual,Español,,Municipal,
a9ir-28gn,"Fuentes bibliográficas, empresas servicios TIC",OCyT,mfya-k3m2,published,private,not_ready,official,href,"Ciencia, Tecnología e Innovación",fuentes de información biblliográfica,https://www.datos.gov.co/d/a9ir-28gn,,07/14/2016 10:52:55 PM,07/14/2016 10:52:55 PM,www.datos.gov.co,false,31,0,,,,Creative Commons Attribution | Share Alike 4.0 International,Ministerio de Tecnologías de la Información y las Comunicaciones,,,,,,2016-04-07 12:52:44.637,,,,,,Tecnologías de la Información y las Comunicaciones,,Ministerio de Tecnologías de La Información y Las Comunicaciones,,,,,,Bogotá D.C.,,Nacional,,,,,,2016-04-07,MINISTERIO DE TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES,Bogotá D.C.,,Anual,Español,,Nacional,
7cmf-x9nt,"Programas técnicos TIC, entidad territorial",OCyT,mfya-k3m2,published,private,not_ready,official,href,"Ciencia, Tecnología e Innovación",programas formación técnica profesional tic,https://www.datos.gov.co/d/7cmf-x9nt,,07/14/2016 10:45:31 PM,07/14/2016 10:45:31 PM,www.datos.gov.co,false,17,1,,,,Creative Commons Attribution | Share Alike 4.0 International,Ministerio de Tecnologías de la Información y las Comunicaciones,,,,,,2016-03-31 11:46:00.463,,,,,,Tecnologías de la Información y las Comunicaciones,,Ministerio de Tecnologías de La Información y Las Comunicaciones,,,,,,Bogotá D.C.,,Nacional,,,,,,2016-03-31,MINISTERIO DE TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES,Bogotá D.C.,,Anual,Español,,Nacional,
7fqh-ktiw,Tendencia Reporte Información al Sistema Colombia TIC - Mensajería Expresa,Ministerio TIC Oficina TI Gestión de Informacion,cw5t-ib5h,published,private,not_ready,official,dataset,"Ciencia, Tecnología e Innovación","colombia tic,tendencia,reporte,mensajería expresa",https://www.datos.gov.co/d/7fqh-ktiw,https://www.datos.gov.co/resource/7fqh-ktiw.json,06/19/2018 07:20:20 PM,06/19/2018 07:20:22 PM,www.datos.gov.co,false,98,21,33,9,ymontilla@mintic.gov.co,Creative Commons Attribution | Share Alike 4.0 International,Ministerio de Tecnologías de la Información y las Comunicaciones,,,,,,,,,,,,"Ciencia, Tecnología e innovación",,Ministerio de Tecnologías de La Información y Las Comunicaciones,,,,,http://colombiatic.mintic.gov.co/679/w3-multipropertyvalues-36345-36377.html,Bogotá D.C.,,Nacional,,,,,,2018-06-19,Oficina de Tecnologías de la Información ,Bogotá D.C.,,No aplica,Español,,Nacional,http://www.mintic.gov.co/preventic/666/w3-channel.html
izn8-9vdv:3,Convocatorias MINTIC 2020,tolima,idvw-ryup,unpublished,private,not_ready,official,dataset,,"convocatoria,mintic",https://www.datos.gov.co/d/izn8-9vdv/revisions/3,,02/12/2021 09:08:22 PM,11/04/2020 03:47:18 PM,www.datos.gov.co,false,,,23,9,,Creative Commons Attribution 4.0 International,Portales web del Ministerio,http://mintic.gov.co,Convocatorias MINTIC 2020,izn8-9vdv,,,,,,,,,Tecnologías de la Información y las Comunicaciones,,Ministerio de Tecnologías de La Información y Las Comunicaciones,,,,,,Bogotá D.C.,,Nacional,,,,,,2020-08-22,Fomento Regional,Bogotá D.C.,,Quincenal,Español,,Nacional,
8xbh-t8dg,Entidades Sellos de Excelencia,Ministerio de Tecnologías de la Información y las Comunicaciones,r4qn-dwdd,published,private,not_ready,official,dataset,"Ciencia, Tecnología e Innovación","entidades,excelencia,sello",https://www.datos.gov.co/d/8xbh-t8dg,https://www.datos.gov.co/resource/8xbh-t8dg.json,12/22/2016 01:43:23 PM,12/22/2016 02:03:37 PM,www.datos.gov.co,false,21,0,35,1,datosabiertos@mintic.gov.co,Creative Commons Attribution | Share Alike 4.0 International,Ministerio de Tecnologías de la Información y las Comunicaciones,,,,,,,,,,,,Tecnologías de la Información y las Comunicaciones,,Ministerio de Tecnologías de La Información y Las Comunicaciones,,,,,,Bogotá D.C.,,Nacional,,,,,,2016-12-19,Ministerio de Tecnologías de la Información y las Comunicaciones,Bogotá D.C.,,Mensual,Español,,Nacional,
