dm32           sin^2(theta23)  DeltaChi2 
-0.0018574     0.245           49.975 
-0.0018574     0.255           46.045 
-0.0018574     0.265           42.428 
-0.0018574     0.275           39.116 
-0.0018574     0.285           36.097 
-0.0018574     0.295           33.360 
-0.0018574     0.305           30.894 
-0.0018574     0.315           28.684 
-0.0018574     0.325           26.717 
-0.0018574     0.335           24.978 
-0.0018574     0.345           23.451 
-0.0018574     0.355           22.121 
-0.0018574     0.365           20.971 
-0.0018574     0.375           19.987 
-0.0018574     0.385           19.151 
-0.0018574     0.395           18.450 
-0.0018574     0.405           17.868 
-0.0018574     0.415           17.391 
-0.0018574     0.425           17.006 
-0.0018574     0.435           16.702 
-0.0018574     0.445           16.467 
-0.0018574     0.455           16.294 
-0.0018574     0.465           16.173 
-0.0018574     0.475           16.099 
-0.0018574     0.485           16.068 
-0.0018574     0.495           16.077 
-0.0018574     0.505           16.125 
-0.0018574     0.515           16.213 
-0.0018574     0.525           16.343 
-0.0018574     0.535           16.520 
-0.0018574     0.545           16.751 
-0.0018574     0.555           17.042 
-0.0018574     0.565           17.403 
-0.0018574     0.575           17.844 
-0.0018574     0.585           18.377 
-0.0018574     0.595           19.015 
-0.0018574     0.605           19.771 
-0.0018574     0.615           20.661 
-0.0018574     0.625           21.698 
-0.0018574     0.635           22.898 
-0.0018574     0.645           24.277 
-0.0018574     0.655           25.849 
-0.0018574     0.665           27.631 
-0.0018574     0.675           29.637 
-0.0018574     0.685           31.881 
-0.0018574     0.695           34.377 
-0.0018574     0.705           37.138 
-0.0018574     0.715           40.174 
-0.0018574     0.725           43.498 
-0.0018574     0.735           47.118 
-0.0018574     0.745           51.043 
-0.0018934     0.245           47.602 
-0.0018934     0.255           43.623 
-0.0018934     0.265           39.961 
-0.0018934     0.275           36.608 
-0.0018934     0.285           33.552 
-0.0018934     0.295           30.783 
-0.0018934     0.305           28.288 
-0.0018934     0.315           26.053 
-0.0018934     0.325           24.064 
-0.0018934     0.335           22.306 
-0.0018934     0.345           20.763 
-0.0018934     0.355           19.419 
-0.0018934     0.365           18.258 
-0.0018934     0.375           17.265 
-0.0018934     0.385           16.422 
-0.0018934     0.395           15.714 
-0.0018934     0.405           15.127 
-0.0018934     0.415           14.647 
-0.0018934     0.425           14.259 
-0.0018934     0.435           13.952 
-0.0018934     0.445           13.716 
-0.0018934     0.455           13.541 
-0.0018934     0.465           13.418 
-0.0018934     0.475           13.343 
-0.0018934     0.485           13.310 
-0.0018934     0.495           13.316 
-0.0018934     0.505           13.362 
-0.0018934     0.515           13.447 
-0.0018934     0.525           13.574 
-0.0018934     0.535           13.749 
-0.0018934     0.545           13.976 
-0.0018934     0.555           14.264 
-0.0018934     0.565           14.622 
-0.0018934     0.575           15.061 
-0.0018934     0.585           15.593 
-0.0018934     0.595           16.230 
-0.0018934     0.605           16.986 
-0.0018934     0.615           17.877 
-0.0018934     0.625           18.917 
-0.0018934     0.635           20.122 
-0.0018934     0.645           21.508 
-0.0018934     0.655           23.090 
-0.0018934     0.665           24.884 
-0.0018934     0.675           26.905 
-0.0018934     0.685           29.167 
-0.0018934     0.695           31.685 
-0.0018934     0.705           34.471 
-0.0018934     0.715           37.537 
-0.0018934     0.725           40.895 
-0.0018934     0.735           44.553 
-0.0018934     0.745           48.519 
-0.0019294     0.245           45.465 
-0.0019294     0.255           41.443 
-0.0019294     0.265           37.743 
-0.0019294     0.275           34.354 
-0.0019294     0.285           31.267 
-0.0019294     0.295           28.471 
-0.0019294     0.305           25.952 
-0.0019294     0.315           23.696 
-0.0019294     0.325           21.689 
-0.0019294     0.335           19.916 
-0.0019294     0.345           18.361 
-0.0019294     0.355           17.007 
-0.0019294     0.365           15.838 
-0.0019294     0.375           14.838 
-0.0019294     0.385           13.990 
-0.0019294     0.395           13.279 
-0.0019294     0.405           12.689 
-0.0019294     0.415           12.207 
-0.0019294     0.425           11.817 
-0.0019294     0.435           11.509 
-0.0019294     0.445           11.272 
-0.0019294     0.455           11.095 
-0.0019294     0.465           10.972 
-0.0019294     0.475           10.894 
-0.0019294     0.485           10.859 
-0.0019294     0.495           10.863 
-0.0019294     0.505           10.906 
-0.0019294     0.515           10.988 
-0.0019294     0.525           11.111 
-0.0019294     0.535           11.282 
-0.0019294     0.545           11.505 
-0.0019294     0.555           11.788 
-0.0019294     0.565           12.142 
-0.0019294     0.575           12.577 
-0.0019294     0.585           13.104 
-0.0019294     0.595           13.738 
-0.0019294     0.605           14.492 
-0.0019294     0.615           15.381 
-0.0019294     0.625           16.421 
-0.0019294     0.635           17.627 
-0.0019294     0.645           19.016 
-0.0019294     0.655           20.604 
-0.0019294     0.665           22.405 
-0.0019294     0.675           24.437 
-0.0019294     0.685           26.712 
-0.0019294     0.695           29.246 
-0.0019294     0.705           32.052 
-0.0019294     0.715           35.142 
-0.0019294     0.725           38.526 
-0.0019294     0.735           42.215 
-0.0019294     0.745           46.217 
-0.0019654     0.245           43.553 
-0.0019654     0.255           39.494 
-0.0019654     0.265           35.761 
-0.0019654     0.275           32.343 
-0.0019654     0.285           29.231 
-0.0019654     0.295           26.412 
-0.0019654     0.305           23.874 
-0.0019654     0.315           21.602 
-0.0019654     0.325           19.582 
-0.0019654     0.335           17.798 
-0.0019654     0.345           16.234 
-0.0019654     0.355           14.873 
-0.0019654     0.365           13.699 
-0.0019654     0.375           12.695 
-0.0019654     0.385           11.845 
-0.0019654     0.395           11.132 
-0.0019654     0.405           10.541 
-0.0019654     0.415           10.058 
-0.0019654     0.425            9.668 
-0.0019654     0.435            9.360 
-0.0019654     0.445            9.122 
-0.0019654     0.455            8.945 
-0.0019654     0.465            8.820 
-0.0019654     0.475            8.742 
-0.0019654     0.485            8.705 
-0.0019654     0.495            8.706 
-0.0019654     0.505            8.745 
-0.0019654     0.515            8.823 
-0.0019654     0.525            8.942 
-0.0019654     0.535            9.107 
-0.0019654     0.545            9.325 
-0.0019654     0.555            9.602 
-0.0019654     0.565            9.950 
-0.0019654     0.575           10.378 
-0.0019654     0.585           10.900 
-0.0019654     0.595           11.527 
-0.0019654     0.605           12.276 
-0.0019654     0.615           13.161 
-0.0019654     0.625           14.197 
-0.0019654     0.635           15.402 
-0.0019654     0.645           16.790 
-0.0019654     0.655           18.379 
-0.0019654     0.665           20.184 
-0.0019654     0.675           22.221 
-0.0019654     0.685           24.505 
-0.0019654     0.695           27.050 
-0.0019654     0.705           29.870 
-0.0019654     0.715           32.978 
-0.0019654     0.725           36.383 
-0.0019654     0.735           40.097 
-0.0019654     0.745           44.128 
-0.0020014     0.245           41.851 
-0.0020014     0.255           37.763 
-0.0020014     0.265           34.002 
-0.0020014     0.275           30.561 
-0.0020014     0.285           27.428 
-0.0020014     0.295           24.592 
-0.0020014     0.305           22.039 
-0.0020014     0.315           19.756 
-0.0020014     0.325           17.726 
-0.0020014     0.335           15.934 
-0.0020014     0.345           14.365 
-0.0020014     0.355           13.000 
-0.0020014     0.365           11.824 
-0.0020014     0.375           10.819 
-0.0020014     0.385            9.968 
-0.0020014     0.395            9.256 
-0.0020014     0.405            8.666 
-0.0020014     0.415            8.184 
-0.0020014     0.425            7.795 
-0.0020014     0.435            7.488 
-0.0020014     0.445            7.251 
-0.0020014     0.455            7.074 
-0.0020014     0.465            6.948 
-0.0020014     0.475            6.869 
-0.0020014     0.485            6.829 
-0.0020014     0.495            6.828 
-0.0020014     0.505            6.863 
-0.0020014     0.515            6.937 
-0.0020014     0.525            7.050 
-0.0020014     0.535            7.209 
-0.0020014     0.545            7.420 
-0.0020014     0.555            7.690 
-0.0020014     0.565            8.030 
