dm32          sin^2(theta23)  DeltaChi2 
0.0017066     0.245           60.533 
0.0017066     0.255           56.654 
0.0017066     0.265           53.076 
0.0017066     0.275           49.791 
0.0017066     0.285           46.790 
0.0017066     0.295           44.064 
0.0017066     0.305           41.602 
0.0017066     0.315           39.391 
0.0017066     0.325           37.418 
0.0017066     0.335           35.671 
0.0017066     0.345           34.134 
0.0017066     0.355           32.794 
0.0017066     0.365           31.635 
0.0017066     0.375           30.642 
0.0017066     0.385           29.800 
0.0017066     0.395           29.094 
0.0017066     0.405           28.510 
0.0017066     0.415           28.035 
0.0017066     0.425           27.655 
0.0017066     0.435           27.358 
0.0017066     0.445           27.133 
0.0017066     0.455           26.971 
0.0017066     0.465           26.863 
0.0017066     0.475           26.802 
0.0017066     0.485           26.784 
0.0017066     0.495           26.804 
0.0017066     0.505           26.860 
0.0017066     0.515           26.952 
0.0017066     0.525           27.081 
0.0017066     0.535           27.251 
0.0017066     0.545           27.465 
0.0017066     0.555           27.731 
0.0017066     0.565           28.056 
0.0017066     0.575           28.450 
0.0017066     0.585           28.922 
0.0017066     0.595           29.484 
0.0017066     0.605           30.150 
0.0017066     0.615           30.931 
0.0017066     0.625           31.844 
0.0017066     0.635           32.902 
0.0017066     0.645           34.119 
0.0017066     0.655           35.512 
0.0017066     0.665           37.096 
0.0017066     0.675           38.885 
0.0017066     0.685           40.893 
0.0017066     0.695           43.135 
0.0017066     0.705           45.623 
0.0017066     0.715           48.371 
0.0017066     0.725           51.389 
0.0017066     0.735           54.689 
0.0017066     0.745           58.278 
0.0017426     0.245           57.498 
0.0017426     0.255           53.551 
0.0017426     0.265           49.910 
0.0017426     0.275           46.567 
0.0017426     0.285           43.514 
0.0017426     0.295           40.740 
0.0017426     0.305           38.234 
0.0017426     0.315           35.985 
0.0017426     0.325           33.979 
0.0017426     0.335           32.201 
0.0017426     0.345           30.638 
0.0017426     0.355           29.275 
0.0017426     0.365           28.096 
0.0017426     0.375           27.087 
0.0017426     0.385           26.230 
0.0017426     0.395           25.513 
0.0017426     0.405           24.919 
0.0017426     0.415           24.435 
0.0017426     0.425           24.048 
0.0017426     0.435           23.746 
0.0017426     0.445           23.516 
0.0017426     0.455           23.350 
0.0017426     0.465           23.239 
0.0017426     0.475           23.176 
0.0017426     0.485           23.155 
0.0017426     0.495           23.172 
0.0017426     0.505           23.227 
0.0017426     0.515           23.317 
0.0017426     0.525           23.445 
